title,category
Luciano_Pavarotti,People
Francisco_Pizarro,People
Kanō_Masanobu,People
Dhyan_Chand,People
Cato_the_Elder,People
Henry_David_Thoreau,People
Slobodan_Milošević,People
Noah_Webster,People
Pieter_Bruegel_the_Elder,People
Miguel_de_Cervantes,People
Anna_Freud,People
Joseph_Goebbels,People
Brahmagupta,People
Tennessee_Williams,People
Ty_Cobb,People
Paco_de_Lucía,People
Carl_Friedrich_Gauss,People
Mohammad_Mosaddegh,People
Guru_Gobind_Singh,People
Diogenes,People
Leonhard_Euler,People
Guru_Dutt,People
Zhiyi,People
Filippo_Brunelleschi,People
Émile_Zola,People
Peter_Gustav_Lejeune_Dirichlet,People
Lev_Yashin,People
Marshall_McLuhan,People
Chandragupta_Maurya,People
Pedro_Calderón_de_la_Barca,People
Ingemar_Stenmark,People
Willy_Brandt,People
Mustafa_Kemal_Atatürk,People
Chanakya,People
Laurence_Olivier,People
Charles_Dickens,People
Guru_Nanak,People
Claudette_Colbert,People
Antiochus_III_the_Great,People
Thomas_Young_(scientist),People
James_VI_and_I,People
John_Rawls,People
John_Milton,People
Richard_Pryor,People
Mikhail_Lomonosov,People
Oscar_Wilde,People
Frederick_Barbarossa,People
Spartacus,People
Haile_Selassie,People
Hypatia,People
Shitao,People
Nikolay_Karamzin,People
Omar_Khayyam,People
Fred_Astaire,People
Izumo_no_Okuni,People
Marvin_Gaye,People
Piet_Mondrian,People
Ernest_Shackleton,People
John_Kenneth_Galbraith,People
Sophia_Loren,People
Friedrich_Engels,People
Yaroslav_the_Wise,People
John_Logie_Baird,People
Rita_Hayworth,People
Taejo_of_Goryeo,People
Man_Ray,People
Léon_Foucault,People
Dmitri_Mendeleev,People
Charles_Lyell,People
Enzo_Ferrari,People
Little_Richard,People
George_Westinghouse,People
Dwight_D._Eisenhower,People
Dietrich_Bonhoeffer,People
Selim_III,People
Philip_II_of_France,People
Gilbert_and_Sullivan,People
John_B._Watson,People
Theodoric_the_Great,People
Maria_Callas,People
Casimir_III_the_Great,People
Abd_Allah_al-Mahdi_Billah,People
C._V._Raman,People
Edward_Drinker_Cope,People
Philip_II_of_Macedon,People
Nikola_Tesla,People
Alexander_Hamilton,People
Ayrton_Senna,People
William_Wyler,People
T._E._Lawrence,People
Gerolamo_Cardano,People
Margaret_Atwood,People
Sophocles,People
Robert_Johnson,People
Carol_Burnett,People
Isaiah_Berlin,People
Yongle_Emperor,People
Moctezuma_II,People
Wong_Kar-wai,People
Haile_Gebrselassie,People
Pliny_the_Elder,People
Andrew_Jackson,People
Jean_Racine,People
Florence_Griffith_Joyner,People
Ignatius_of_Loyola,People
John_Lennon,People
Joseph_Priestley,People
Jacques_Cousteau,People
Yohannes_IV,People
Leopold_II_of_Belgium,People
Raymond_Cattell,People
Ibn_Khaldun,People
Leon_Trotsky,People
Henry_Fonda,People
Śāriputra,People
Muhammad_Ali_Jinnah,People
Claude_Monet,People
Muhammad_Ali_of_Egypt,People
Malik_ibn_Anas,People
John_Knox,People
Andrea_Palladio,People
Cao_Cao,People
Godfrey_of_Bouillon,People
Lu_Xun,People
Zhou_Enlai,People
Joan_Sutherland,People
Alfred_Tarski,People
Abu_Bakr_al-Razi,People
"Francis_II,_Holy_Roman_Emperor",People
Sargon_of_Akkad,People
Ulysses_S._Grant,People
Antoine_Watteau,People
Toussaint_Louverture,People
Robert_Schumann,People
Magic_Johnson,People
Vilfredo_Pareto,People
Pedro_II_of_Brazil,People
Paul_Kagame,People
David_Lloyd_George,People
Clifford_Geertz,People
Lyndon_B._Johnson,People
Carl_Gustav_Jacob_Jacobi,People
Alexander_II_of_Russia,People
Pachacuti,People
Billy_Wilder,People
Giovanni_Pierluigi_da_Palestrina,People
Miyamoto_Musashi,People
Francis_Galton,People
Abd_al-Rahman_I,People
Harold_Urey,People
Emperor_Taizu_of_Song,People
Louis_Armstrong,People
Umm_Kulthum,People
Voltaire,People
Lê_Thánh_Tông,People
Barbara_Stanwyck,People
Tom_Hanks,People
Robert_Koch,People
Robert_E._Lee,People
Rupert_Murdoch,People
Cleopatra,People
Juan_Carlos_I,People
Recep_Tayyip_Erdoğan,People
Roger_II_of_Sicily,People
Vladimir_the_Great,People
Franz_Schubert,People
Srinivasa_Ramanujan,People
Patriarch_Nikon_of_Moscow,People
Hank_Aaron,People
Georgia_O'Keeffe,People
Baybars,People
Benoit_Mandelbrot,People
Michael_Collins_(Irish_leader),People
Julio_Iglesias,People
Henry_Moore,People
Philip_II_of_Spain,People
Erwin_Schrödinger,People
Dmitri_Shostakovich,People
Robert_Falcon_Scott,People
Andrei_Sakharov,People
Black_Sabbath,People
Serge_Gainsbourg,People
Hieronymus_Bosch,People
Rothschild_family,People
Eratosthenes,People
John_Cage,People
Elizabeth_of_Russia,People
Louis_B._Mayer,People
Ivan_Bunin,People
John_Keats,People
Fernand_Braudel,People
J._P._Morgan,People
William_S._Burroughs,People
J._J._Thomson,People
Fanny_Blankers-Koen,People
Vladimir_Putin,People
Edward_Hopper,People
Rajinikanth,People
Boris_I_of_Bulgaria,People
John_F._Kennedy,People
Leo_III_the_Isaurian,People
Thomas_Cranmer,People
Chrétien_de_Troyes,People
Leo_Tolstoy,People
Booker_T._Washington,People
Jim_Henson,People
Howard_Hughes,People
George_Boole,People
Georges_Cuvier,People
Rudaki,People
Jackie_Joyner-Kersee,People
Ibn_Taymiyya,People
Tokhtamysh,People
James_Watt,People
Arthur_C._Clarke,People
Henri_Poincaré,People
Ruhollah_Khomeini,People
Cicero,People
Khosrow_I,People
Gustave_Flaubert,People
Rainilaiarivony,People
Zenobia,People
Sergei_Korolev,People
William_Gilbert_(physicist),People
James_Prescott_Joule,People
Kazimir_Malevich,People
The_Supremes,People
Jean-Auguste-Dominique_Ingres,People
Upton_Sinclair,People
John_A._Macdonald,People
Getúlio_Vargas,People
Max_Born,People
Kūkai,People
Marquis_de_Sade,People
Leif_Erikson,People
Max_Planck,People
Pope_Pius_IX,People
Ray_Charles,People
Henry_Dunant,People
Robert_Frost,People
Nikolai_Lobachevsky,People
Padmasambhava,People
Moctezuma_I,People
Charles_Sanders_Peirce,People
Georg_Ohm,People
Simone_de_Beauvoir,People
Mary_Wollstonecraft,People
Jonathan_Swift,People
Basil_of_Caesarea,People
Selim_I,People
P._T._Barnum,People
Johnny_Cash,People
Prithvi_Narayan_Shah,People
Draco_(legislator),People
Plácido_Domingo,People
Marco_Polo,People
Roald_Amundsen,People
